repo,kind,routePath,file,lines,dynamicSegments,parallelSlot,hasGenerateStaticParams,gspCovered,useClient,useServerFile,useServerInline,nextHeadersImports,redirectCalls,redirectImportedFromNextNavigation,notFoundCalls,exportDynamic,exportRevalidate,exportRuntime,exportFetchCache,exportDynamicParams,usesUnstableCache,usesAfter,usesNoStoreOrConnection,readsSearchParamsProp,httpMethods,requestReads,apiFetchTargets,veridianCalls,importsNextIntlServer,reexportDefault,transitiveNextHeadersVia,transitiveUseServerVia,transitiveNextIntlServerVia,forceStatic,ownBlockers,inheritedBlockers,inheritedFrom,neutralizedByForceStatic,effectiveBlockers,exportable
compliance-tracker,route,/api/settings/branding/logo,src/app/api/settings/branding/logo/route.ts,117,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,POST|DELETE,request.formData|request.url|new URL(request.url),,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/branding,src/app/api/settings/branding/route.ts,44,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|PATCH,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/deployment-history,src/app/api/settings/deployment-history/route.ts,46,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET,,,,false,false,,,,false,NOT_FORCE_STATIC,,,,NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/model-config/[id],src/app/api/settings/model-config/[id]/route.ts,34,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,DELETE,"NextRequest (typed, no member read detected)",,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/model-config/pool-usage,src/app/api/settings/model-config/pool-usage/route.ts,41,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET,,,,false,false,,,,false,NOT_FORCE_STATIC,,,,NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/model-config,src/app/api/settings/model-config/route.ts,169,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/module-rules,src/app/api/settings/module-rules/route.ts,42,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.nextUrl|request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/modules,src/app/api/settings/modules/route.ts,40,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET,request.nextUrl,,,false,false,,,,false,READS_REQUEST|NOT_FORCE_STATIC,,,,READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/org-limits,src/app/api/settings/org-limits/route.ts,52,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|PATCH,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/passcode,src/app/api/settings/passcode/route.ts,67,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST|DELETE,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/prompts,src/app/api/settings/prompts/route.ts,38,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.nextUrl|request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/sso,src/app/api/settings/sso/route.ts,38,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/subscription-plan,src/app/api/settings/subscription-plan/route.ts,42,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|PATCH,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/system-health,src/app/api/settings/system-health/route.ts,55,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET,,,,false,false,,,,false,NOT_FORCE_STATIC,,,,NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/tenant-ai-config/[id],src/app/api/settings/tenant-ai-config/[id]/route.ts,48,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,DELETE,"NextRequest (typed, no member read detected)",,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/tenant-ai-config,src/app/api/settings/tenant-ai-config/route.ts,174,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/webhooks/[id]/redeliver,src/app/api/settings/webhooks/[id]/redeliver/route.ts,78,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,POST,request.json,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/webhooks/[id],src/app/api/settings/webhooks/[id]/route.ts,120,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,PATCH|DELETE,request.json,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/settings/webhooks,src/app/api/settings/webhooks/route.ts,169,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.json|request passed to helper,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/shared/conversation/[token],src/app/api/shared/conversation/[token]/route.ts,23,[token],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,GET,,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/sla-policies/[id],src/app/api/sla-policies/[id]/route.ts,26,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,PATCH,request.json,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/sla-policies,src/app/api/sla-policies/route.ts,41,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.json,,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/social/posts/[id]/comments,src/app/api/social/posts/[id]/comments/route.ts,41,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.json,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/social/posts/[id]/reactions,src/app/api/social/posts/[id]/reactions/route.ts,25,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,POST,request.json,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/social/posts,src/app/api/social/posts/route.ts,43,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.url|request.json|new URL(request.url),,,false,false,,,,false,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/stage0/conversations/[id]/messages,src/app/api/stage0/conversations/[id]/messages/route.ts,63,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,GET|POST,request.json,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,,,,DYNAMIC_SEGMENT_NO_GSP|NON_GET_METHOD|READS_REQUEST|NOT_FORCE_STATIC,false
compliance-tracker,route,/api/stage0/inbox,src/app/api/stage0/inbox/route.ts,35,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET,,,,false,false,,,,false,NOT_FORCE_STATIC,,,,NOT_FORCE_STATIC,false
compliance-tracker,route,/api/stage0/outreach,src/app/api/stage0/outreach/route.ts,25,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,GET,,,,false,false,,,,false,NOT_FORCE_STATIC,,,,NOT_FORCE_STATIC,false
